Date,Price
2020-10-30,928.9
2020-10-29,934.83
2020-10-28,930.9
2020-10-27,954.81
2020-10-26,959.91
2020-10-23,972.54
2020-10-22,970.52
2020-10-21,966.63
2020-10-20,971.53
2020-10-19,972.22
2020-10-16,982.67
2020-10-15,986.63
2020-10-14,983.99
2020-10-13,987.83
2020-10-09,990.95
2020-10-08,991.28
2020-10-07,985.81
2020-10-06,973.01
2020-10-05,983.4
2020-10-02,971.32
2020-10-01,969.49
2020-09-30,967.27
2020-09-29,973.77
2020-09-28,976.6
2020-09-25,966.18
2020-09-24,956.22
2020-09-23,950.82
2020-09-22,967.76
2020-09-21,957.71
2020-09-18,968.21
2020-09-17,970.37
2020-09-16,973.79
2020-09-15,983.64
2020-09-14,980.14
2020-09-11,973.83
2020-09-10,970.76
2020-09-09,983.24
2020-09-08,965.57
2020-09-04,972.5
2020-09-03,987.07
2020-09-02,1002.17
2020-09-01,998.29
2020-08-31,990.52
2020-08-28,1002.28
2020-08-27,1005.78
2020-08-26,1009.3
2020-08-25,998.34
2020-08-24,997.79
2020-08-21,990.99
2020-08-20,995.77
2020-08-19,994.06
2020-08-18,996.5
2020-08-17,998.16
2020-08-14,990.34
2020-08-13,990.98
2020-08-12,995.48
2020-08-11,991.09
2020-08-10,995.1
2020-08-07,991.1
2020-08-06,992.83
2020-08-05,988.62
2020-08-04,980.88
2020-07-31,968.67
2020-07-30,978.31
2020-07-29,977.15
2020-07-28,965.65
2020-07-27,969.04
2020-07-24,960.06
2020-07-23,961.57
2020-07-22,970.92
2020-07-21,971.5
2020-07-20,973.04
2020-07-17,970.07
2020-07-16,964.87
2020-07-15,966.01
2020-07-14,958.31
2020-07-13,941.72
2020-07-10,945.35
2020-07-09,935.68
2020-07-08,939.19
2020-07-07,937.72
2020-07-06,942.24
2020-07-03,939.35
2020-07-02,940.86
2020-06-30,934.21
2020-06-29,928.6
2020-06-26,915.65
2020-06-25,932.27
2020-06-24,921.79
2020-06-23,937.54
2020-06-22,935.25
2020-06-19,933.38
2020-06-18,934.92
2020-06-17,930.87
2020-06-16,936.0
2020-06-15,925.96
2020-06-12,920.06
2020-06-11,908.66
2020-06-10,946.07
2020-06-09,954.25
2020-06-08,961.68
2020-06-05,956.81
2020-06-04,936.71
2020-06-03,941.72
2020-06-02,931.7
2020-06-01,919.77
2020-05-29,917.17
2020-05-28,923.16
