"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 17, 2020","970.37","964.35","974.01","962.62","110.63M","-0.35%"
"Sep 16, 2020","973.79","987.06","987.50","973.79","102.28M","-1.00%"
"Sep 15, 2020","983.64","986.94","989.20","982.20","110.30M","0.36%"
"Sep 14, 2020","980.14","979.26","981.70","977.51","124.04M","0.65%"
"Sep 11, 2020","973.83","974.96","979.23","968.48","96.51M","0.32%"
"Sep 10, 2020","970.76","985.97","985.97","968.72","110.50M","-1.27%"
"Sep 09, 2020","983.24","975.37","986.51","975.37","127.95M","1.83%"
"Sep 08, 2020","965.57","964.10","972.71","957.82","174.22M","-0.71%"
"Sep 04, 2020","972.50","988.66","991.00","965.52","146.66M","-1.48%"
"Sep 03, 2020","987.07","1,001.07","1,004.07","983.13","104.22M","-1.51%"
"Sep 02, 2020","1,002.17","1,003.28","1,004.75","999.81","116.26M","0.39%"
"Sep 01, 2020","998.29","990.83","998.29","986.48","104.89M","0.78%"
"Aug 31, 2020","990.52","1,000.59","1,000.59","989.39","129.07M","-1.17%"
"Aug 28, 2020","1,002.28","1,008.50","1,008.58","1,001.17","109.52M","-0.35%"
"Aug 27, 2020","1,005.78","1,011.02","1,012.36","1,001.00","93.60M","-0.35%"
"Aug 26, 2020","1,009.30","1,000.53","1,009.52","998.52","87.81M","1.10%"
"Aug 25, 2020","998.34","999.67","999.67","992.81","80.77M","0.06%"
"Aug 24, 2020","997.79","998.03","998.79","994.36","101.67M","0.69%"
"Aug 21, 2020","990.99","992.32","992.32","988.05","93.76M","-0.48%"
"Aug 20, 2020","995.77","990.41","996.88","988.97","103.94M","0.17%"
"Aug 19, 2020","994.06","995.98","999.19","993.17","117.92M","-0.24%"
"Aug 18, 2020","996.50","1,000.57","1,001.13","993.80","73.89M","-0.17%"
"Aug 17, 2020","998.16","996.98","998.88","994.98","99.36M","0.79%"
"Aug 14, 2020","990.34","987.05","992.04","986.78","81.22M","-0.06%"
"Aug 13, 2020","990.98","993.28","994.28","987.44","86.70M","-0.45%"
"Aug 12, 2020","995.48","1,000.05","1,002.65","994.95","110.04M","0.44%"
"Aug 11, 2020","991.09","995.25","999.30","990.48","130.53M","-0.40%"
"Aug 10, 2020","995.10","994.27","997.28","989.87","117.43M","0.40%"
"Aug 07, 2020","991.10","990.97","992.78","987.55","86.49M","-0.17%"
"Aug 06, 2020","992.83","990.29","994.14","987.90","109.95M","0.43%"
"Aug 05, 2020","988.62","985.49","988.90","984.83","109.70M","0.79%"
"Aug 04, 2020","980.88","968.45","981.92","968.45","116.98M","1.26%"
"Jul 31, 2020","968.67","976.65","976.65","961.44","106.45M","-0.99%"
"Jul 30, 2020","978.31","966.70","978.31","960.33","85.38M","0.12%"
"Jul 29, 2020","977.15","975.63","978.63","969.99","80.41M","1.19%"
"Jul 28, 2020","965.65","968.16","970.13","964.22","93.45M","-0.35%"
"Jul 27, 2020","969.04","963.71","969.26","959.68","88.65M","0.94%"
"Jul 24, 2020","960.06","958.75","960.74","955.73","89.56M","-0.16%"
"Jul 23, 2020","961.57","971.87","971.87","959.12","103.88M","-0.96%"
"Jul 22, 2020","970.92","971.63","972.44","967.31","92.50M","-0.06%"
"Jul 21, 2020","971.50","979.39","981.06","970.97","106.34M","-0.16%"
"Jul 20, 2020","973.04","968.86","974.28","968.86","120.43M","0.31%"
"Jul 17, 2020","970.07","968.65","971.47","963.72","83.79M","0.54%"
"Jul 16, 2020","964.87","960.16","967.50","959.69","90.76M","-0.12%"
"Jul 15, 2020","966.01","963.68","971.72","961.44","129.14M","0.80%"
"Jul 14, 2020","958.31","941.44","959.52","938.59","128.68M","1.76%"
"Jul 13, 2020","941.72","948.96","955.81","940.59","117.54M","-0.38%"
"Jul 10, 2020","945.35","936.48","945.62","934.58","111.97M","1.03%"
"Jul 09, 2020","935.68","939.10","939.75","924.93","103.51M","-0.37%"
"Jul 08, 2020","939.19","939.83","943.82","933.14","107.69M","0.16%"
"Jul 07, 2020","937.72","938.53","945.79","936.89","93.00M","-0.48%"
"Jul 06, 2020","942.24","949.72","951.25","941.19","139.49M","0.31%"
"Jul 03, 2020","939.35","940.10","941.18","936.92","28.22M","-0.16%"
"Jul 02, 2020","940.86","946.63","954.77","940.19","108.38M","0.71%"
"Jun 30, 2020","934.21","925.68","937.45","924.12","120.30M","0.60%"
"Jun 29, 2020","928.60","919.91","930.85","916.15","113.85M","1.41%"
"Jun 26, 2020","915.65","929.45","929.94","914.24","156.15M","-1.78%"
"Jun 25, 2020","932.27","917.34","932.63","914.94","102.53M","1.14%"
"Jun 24, 2020","921.79","933.26","933.26","913.01","128.23M","-1.68%"
"Jun 23, 2020","937.54","944.79","944.99","935.20","107.34M","0.24%"
"Jun 22, 2020","935.25","933.73","936.10","929.78","144.44M","0.20%"
"Jun 19, 2020","933.38","944.68","944.68","931.73","572.16M","-0.16%"
"Jun 18, 2020","934.92","927.88","937.86","925.87","110.52M","0.44%"
"Jun 17, 2020","930.87","939.43","939.43","930.11","115.90M","-0.55%"
"Jun 16, 2020","936.00","945.71","946.53","931.75","142.92M","1.08%"
"Jun 15, 2020","925.96","907.59","931.20","902.25","142.00M","0.64%"
"Jun 12, 2020","920.06","929.43","930.38","911.46","162.74M","1.25%"
"Jun 11, 2020","908.66","925.76","929.23","906.30","168.99M","-3.95%"
"Jun 10, 2020","946.07","956.50","956.50","941.76","168.86M","-0.86%"
"Jun 09, 2020","954.25","956.09","958.98","949.85","180.98M","-0.77%"
"Jun 08, 2020","961.68","962.90","963.58","954.63","203.68M","0.51%"
"Jun 05, 2020","956.81","952.93","958.52","951.89","167.31M","2.15%"
"Jun 04, 2020","936.71","941.42","945.07","935.08","147.05M","-0.53%"
"Jun 03, 2020","941.72","940.29","945.57","939.66","173.99M","1.08%"
"Jun 02, 2020","931.70","923.91","931.81","923.62","125.46M","1.30%"
"Jun 01, 2020","919.77","916.18","922.44","915.30","118.64M","0.28%"
"May 29, 2020","917.17","921.55","922.34","911.24","357.62M","-0.65%"
"May 28, 2020","923.16","927.57","928.61","921.50","160.38M","-0.16%"
"May 27, 2020","924.65","917.96","924.65","904.82","157.83M","0.98%"
"May 26, 2020","915.67","915.76","917.62","911.89","144.10M","0.53%"
"May 25, 2020","910.80","905.95","911.59","904.94","45.18M","1.14%"
"May 22, 2020","900.53","901.14","902.23","895.12","116.99M","0.24%"
"May 21, 2020","898.39","906.16","906.29","893.06","151.29M","-0.85%"
"May 20, 2020","906.09","908.99","910.63","905.07","138.06M","0.79%"
"May 19, 2020","899.03","902.24","904.28","895.01","166.97M","1.37%"
