CERB Week End,Total Paid CAD
2020-04-19,198.04
2020-04-26,242.5
2020-05-05,285.7
2020-05-10,304.82
2020-05-19,384.1
2020-05-24,403.3
2020-06-01,425.89
2020-06-07,446.39
2020-06-14,502.4
2020-06-21,521.44
2020-06-28,535.28
2020-07-05,547.87
2020-07-12,594.12
2020-07-19,612.6
2020-07-26,627.5
2020-08-02,642.6
2020-08-09,684.6
2020-08-16,700.3
2020-08-23,712.5
2020-08-30,725.5
2020-09-06,764.3
2020-09-13,779.9
2020-09-20,793.0
2020-09-27,806.2
2020-10-04,816.4
